TRADEDATE,Z_IMO_return,Z_IMO_vol_real21,Rel_IMO_RTSOG,Z_USD_RUB_trend21,Z_ADX_IMOEX,Z_IMO_trend21,Z_RTSOG_trend63,Z_IMO_trend63,Z_RGBITR_trend63,Z_RUCBTRNS_trend63,IMO_fwd_log_ret_3d
2020-12-10,1.199655,-1.72591,-0.02207,-1.957008,1.515609,1.574326,-0.75008,2.392076,2.597062,1.863173,4.450703
2020-12-11,0.201168,-1.529117,-0.000552,-1.933108,1.664276,1.53924,-0.676953,2.651996,2.54114,1.861849,-1.045122
2020-12-14,-1.103877,-1.254693,0.003322,-1.920306,1.873778,1.504566,-0.620029,2.77252,2.487518,1.85964,-0.675167
2020-12-15,-0.530745,-1.390382,0.004557,-1.852321,1.838182,1.451177,-0.560671,2.846077,2.434847,1.856682,2.839023
2020-12-16,0.411371,-1.423627,0.006492,-1.782101,1.76428,1.429864,-0.495179,2.903279,2.384734,1.851597,2.620943
2020-12-17,0.104575,-1.336819,-0.010453,-1.72151,1.800024,1.407945,-0.412737,2.953361,2.342261,1.844053,-8.629739
2020-12-18,-0.798979,-1.459646,0.001828,-1.666207,1.532644,1.406381,-0.305039,3.030526,2.304356,1.837689,-4.725659
2020-12-21,-2.89164,-0.135849,0.024234,-1.550242,0.644377,1.369194,-0.226358,2.995694,2.263369,1.833034,-2.211725
2020-12-22,1.219095,0.156345,-9.6e-05,-1.431707,-0.261141,1.371792,-0.124019,2.963561,2.225288,1.828699,5.241476
2020-12-23,0.246656,0.019654,-0.001814,-1.338813,-1.115409,1.368866,-0.012654,2.934227,2.190159,1.820162,1.017049
2020-12-24,-0.629639,0.022189,-0.012923,-1.286881,-1.671588,1.346933,0.123265,2.897038,2.156037,1.807618,0.701372
2020-12-25,0.132964,0.156781,0.003133,-1.273783,-1.914404,1.339058,0.265981,2.843689,2.132612,1.799088,3.869066
2020-12-28,0.216629,0.212401,-0.00382,-1.302483,-1.880327,1.342607,0.42884,2.804211,2.107431,1.794353,4.352787
2020-12-29,0.244616,-0.089968,-0.004125,-1.354722,-1.726822,1.388566,0.597095,2.770566,2.079507,1.785587,9.235838
2020-12-30,0.248027,-0.286328,0.010897,-1.367777,-1.52893,1.416318,0.76973,2.745644,2.042909,1.781988,8.490288
2021-01-04,1.690365,0.197769,-0.000925,-1.396572,-1.181496,1.45481,0.974717,2.754241,2.01607,1.792187,8.209563
2021-01-05,-0.03182,-0.055988,0.000164,-1.323342,-0.859475,1.516825,1.173776,2.741044,1.990455,1.80201,10.219261
2021-01-06,0.089291,-0.04493,-0.01369,-1.269073,-0.531292,1.563865,1.374691,2.71962,1.962614,1.802106,12.018906
2021-01-08,2.017109,1.474227,-0.003848,-1.179042,0.025745,1.660983,1.614367,2.736207,1.933142,1.804192,9.803883
2021-01-11,0.357734,1.154387,0.008954,-1.016401,0.750743,1.780099,1.828323,2.744627,1.886263,1.799792,1.486387
2021-01-12,-0.667834,1.090919,-0.024206,-0.927379,1.594661,1.84229,2.042896,2.739717,1.836326,1.791743,0.800192
2021-01-13,-0.341564,0.677033,-0.01052,-0.845629,2.04931,1.848054,2.240799,2.720654,1.785296,1.780816,-1.993477
2021-01-14,0.291016,0.618887,-0.009309,-0.765176,2.01674,1.844496,2.425373,2.704352,1.734794,1.770931,0.159412
2021-01-15,-1.395279,0.907309,0.005916,-0.668527,1.870926,1.819124,2.551522,2.664635,1.676582,1.760028,-4.578425
2021-01-18,0.282895,0.776456,0.0093,-0.512287,1.575976,1.815116,2.649493,2.637218,1.626052,1.748104,1.527474
2021-01-19,-1.029473,1.039771,-0.003367,-0.379614,1.393771,1.767648,2.701897,2.60365,1.581591,1.731615,-4.762269
2021-01-20,0.40273,1.04793,0.001653,-0.174723,1.253286,1.73136,2.73206,2.574045,1.536821,1.721248,-5.890247
2021-01-21,-1.364599,2.142734,0.013553,-0.040302,0.867952,1.670175,2.716709,2.531613,1.490882,1.709485,-6.732666
