date,news_sentiment_accel_1d_z21,news_topic_entropy_daily_z21,news_sentiment_extreme_1d_z21,news_topic_shock_1d_z21,news_topic_intensity_MacroRF_1d_z21,news_topic_intensity_MonPolicy_1d_z21,news_topic_intensity_Geopol_1d_z21,news_sentiment_level_21d_z63,news_topic_entropy_level_21d_z63,news_topic_intensity_OilGas_21d_z63,news_topic_intensity_Fiscal_21d_z63,news_sentiment_level_63d_z1y,Z_IMO_return,Z_IMO_vol_real21,Rel_IMO_RTSOG,Z_USD_RUB_trend21,Z_ADX_IMOEX,Z_IMO_trend21,Z_RTSOG_trend63,Z_IMO_trend63,Z_RGBITR_trend63,Z_RUCBTRNS_trend63,IMO_fwd_log_ret_3d
2020-08-18,1.497150,0.096660,0.000000,-0.581370,-0.967540,-0.442730,-0.962110,1.198190,0.109270,-0.531980,0.191000,0.000000,-0.615410,-0.118686,-0.004426,1.537045,1.754136,2.011507,1.349395,1.933424,1.240473,1.481165,-6.480361
2020-08-19,-1.235720,0.456130,0.000000,-0.415230,0.632860,0.973730,-0.576620,1.861760,-0.003400,-0.788340,0.242810,0.000000,-0.244869,-0.150652,0.003523,1.559618,1.659531,1.939075,1.314629,1.911395,1.203251,1.461265,-6.074396
2020-08-20,1.092110,0.127090,0.000000,-0.540060,0.882700,-0.401060,-0.330350,1.753200,0.017830,-0.772070,-0.027780,0.000000,-2.566516,3.335884,0.020468,1.616682,1.307265,1.830148,1.240814,1.868562,1.165454,1.439676,-2.970792
2020-08-21,-0.257090,-0.622090,-0.447210,-0.802020,-0.825970,-0.365220,-0.469770,1.551510,-0.958200,-0.845910,1.210290,0.000000,-0.187340,2.667114,0.010991,1.689840,0.896009,1.733019,1.178604,1.839527,1.126458,1.420761,3.914100
2020-08-24,-0.191280,1.411440,,-0.813920,-0.600290,0.857850,0.081760,1.303540,-0.212010,-1.410120,-0.746870,0.000000,0.920187,2.445607,-0.006416,1.712153,0.556867,1.670671,1.132433,1.821163,1.091248,1.403110,6.213133
2020-08-25,0.469900,0.475890,0.000000,-0.756650,0.746420,0.531020,-0.253420,1.834090,-0.148160,-1.400680,-0.495610,0.000000,-0.264917,2.010959,0.009717,1.767348,0.276791,1.604759,1.072775,1.796533,1.056228,1.386765,-1.921184
2020-08-26,-0.519820,0.794870,0.000000,-0.534690,0.551850,0.476030,1.393800,1.528540,0.156770,-1.358200,-0.386650,0.000000,0.541561,1.816258,0.000770,1.811425,-0.010447,1.558272,1.013167,1.779673,1.020858,1.370177,-5.422898
2020-08-27,0.488650,0.737990,0.000000,-0.696110,0.019320,-0.269070,0.131830,1.091220,0.484720,-1.243020,-0.451920,0.000000,-1.501423,2.046526,-0.003146,1.802153,-0.579068,1.478831,0.959228,1.760673,0.990578,1.354299,-9.501870
2020-08-28,-0.596400,0.210560,0.000000,0.046960,0.246010,3.377850,-0.552600,0.620520,1.059580,-1.994020,0.393380,0.000000,-1.262864,1.694507,-0.003242,1.693248,-1.418475,1.415518,0.895231,1.732519,0.962966,1.339672,-4.121197
2020-08-31,0.355530,-0.863540,0.000000,0.138310,2.361600,-0.411230,-0.558370,0.253010,0.884440,-1.806280,1.154750,0.000000,-0.583632,1.420772,0.007122,1.546664,-1.895214,1.335410,0.839918,1.713190,0.937183,1.324839,-2.658070
