TRADEDATE,Z_IMO_return,Z_IMO_vol_real21,RTSOG,Z_USD_RUB_trend21,Z_ADX_IMOEX,Z_IMO_trend21,Z_RTSOG_trend63,Z_IMO_trend63,Z_RGBITR_trend63,Z_RUCBTRNS_trend63
2021-03-23,-0.611667,-1.089026,,0.0,-1.909511,1.526436,,1.377069,-2.70627,0.979743
2021-03-24,0.444804,-0.965185,,0.0,-1.913801,1.460057,,1.375477,-2.703547,0.932591
2021-03-25,-1.227525,-0.096614,,0.0,-1.803963,1.342094,,1.364036,-2.670731,0.888338
2021-03-26,1.214496,-0.208534,,0.0,-1.933697,1.439096,,1.358035,-2.610758,0.854452
2021-03-29,0.877452,0.119893,,0.0,-1.74624,1.554908,,1.359814,-2.546544,0.825947
2021-03-30,-0.363715,-1.944239,,0.0,-1.47227,1.774885,,1.361362,-2.500548,0.792919
2021-03-31,0.257905,-2.048233,,0.0,-1.262321,1.897916,,1.364809,-2.449961,0.749995
2021-04-01,-0.572651,-1.756555,,0.0,-0.783696,1.909073,,1.366052,-2.410777,0.704305
2021-04-02,0.676159,-1.423769,,0.0,-0.344029,1.949659,,1.370862,-2.370906,0.651337
2021-04-05,-1.103082,-1.04063,,0.0,-0.247976,1.9489,,1.364831,-2.337621,0.572018
2021-04-06,-0.962831,-0.633603,,0.0,-0.75876,1.874011,,1.355129,-2.311974,0.476153
2021-04-07,0.162207,-1.827506,,0.0,-1.052036,1.722628,,1.346288,-2.305257,0.386138
2021-04-08,0.160663,-1.70244,,0.0,-1.641283,1.644235,,1.328142,-2.294541,0.280002
2021-04-09,-0.645909,-1.904012,,0.0,-1.739963,1.473399,,1.304054,-2.278725,0.173336
2021-04-12,1.152763,-1.576533,,0.0,-2.071349,1.326523,,1.287601,-2.253186,0.066753
2021-04-13,0.20592,-1.887395,,0.0,-2.113588,1.112777,,1.272793,-2.225584,-0.055317
2021-04-14,1.538352,-1.07382,,0.0,-1.507708,0.991969,,1.263205,-2.176581,-0.184342
2021-04-15,-0.401231,-2.471496,,0.0,-1.470775,1.020443,,1.259496,-2.132844,-0.322282
2021-04-16,0.884072,-2.05308,,0.0,-1.101898,1.118018,,1.257985,-2.06982,-0.44346
2021-04-19,-1.023875,-1.900797,,0.0,-0.686612,1.22823,,1.257982,-2.022503,-0.566141
2021-04-20,-0.860078,-1.582417,,0.0,-0.97967,1.26305,,1.251029,-1.983854,-0.729932
2021-04-21,0.168923,-1.549993,,0.0,-1.191854,1.375712,,1.253984,-1.942034,-0.902661
2021-04-22,1.136561,-1.206919,,0.0,-0.731283,1.541246,,1.271687,-1.889924,-1.075056
2021-04-23,-0.405272,-1.691354,,0.0,-0.195359,1.820378,,1.287213,-1.842261,-1.253977
2021-04-26,0.318338,-1.947407,,0.0,1.004057,1.992524,,1.307606,-1.79612,-1.427844
2021-04-27,-0.576524,-1.990466,,0.0,2.452951,2.024643,,1.336123,-1.756449,-1.607744
2021-04-28,-1.024019,-1.632498,,0.0,2.006447,1.974801,,1.361456,-1.721683,-1.768916
2021-04-29,-0.350076,-1.489499,,0.0,1.745609,1.854302,,1.39905,-1.688419,-1.89874
2021-04-30,-1.13012,-1.231583,,0.0,0.600836,1.713324,,1.428627,-1.66086,-1.979852
2021-05-04,1.302864,-1.094329,,0.0,-0.101009,1.585768,,1.450074,-1.631848,-2.029896
